drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2012-08-30,7,20,22,40,42,0,298.5,14
2012-08-29,11,33,36,41,42,0,353.5,16.5
2012-08-28,11,14,19,37,41,1100000,295.5,12.5
2012-08-27,1,20,22,37,43,0,277.5,13
2012-08-26,23,24,25,39,41,0,373,13.5
2012-08-25,13,19,24,34,38,0,255.5,12
2012-08-24,5,18,29,32,33,0,289,11.5
2012-08-23,17,18,29,38,42,0,454,14.5
2012-08-22,5,6,26,32,36,494280,270.5,12.5
2012-08-21,10,12,18,30,36,0,203,10
2012-08-20,14,22,27,35,38,0,331.5,13.5
2012-08-19,3,18,24,28,41,0,283,11.5
2012-08-18,1,12,24,34,40,125000,324.5,13.5
2012-08-17,4,10,32,34,41,125000,398,15.5
2012-08-16,2,5,10,15,24,225000,106,6.5
2012-08-15,2,7,16,18,41,0,277.5,11.5
2012-08-14,5,7,23,35,43,496017.5,192,11
2012-08-13,1,8,23,27,32,0,270,10.5
2012-08-12,15,20,23,29,43,0,304.5,13
2012-08-11,8,17,29,35,39,0,281.5,11.5
2012-08-10,6,11,18,30,31,1466221,213,10.5
2012-08-09,2,10,15,20,30,0,148,9
2012-08-08,3,5,31,40,42,0,317.5,13
2012-08-07,15,17,21,35,39,0,270.5,12
2012-08-06,2,11,20,29,33,0,231.5,10
2012-08-05,6,17,37,38,43,0,472,14.5
2012-08-04,5,7,24,32,43,0,276.5,11
2012-08-03,10,12,13,30,39,125000,282,10.5
2012-08-02,8,12,34,36,42,502726.5,307.5,13
2012-08-01,3,25,28,35,41,0,316.5,13.5
2012-07-31,2,3,20,23,33,0,220.5,9.5
2012-07-30,2,22,27,30,33,0,393.5,11
2012-07-29,8,13,21,23,39,325000,223,9.5
2012-07-28,4,9,13,15,43,0,279,10.5
2012-07-27,19,24,28,39,41,0,418,14
2012-07-26,7,9,17,22,41,125000,251.5,10
2012-07-25,21,22,29,38,41,1308158.5,308,12.5
2012-07-24,15,34,38,40,42,0,286,14
2012-07-23,2,22,24,34,40,0,296.5,12.5
2012-07-22,5,16,38,40,41,0,310,15
2012-07-21,2,5,22,23,29,0,165,9
2012-07-20,11,23,33,40,41,0,485,14.5
2012-07-19,11,26,27,33,37,0,359,12
2012-07-18,3,6,26,28,36,125000,249.5,10.5
2012-07-17,14,16,27,28,30,325000,241,11
2012-07-16,18,23,27,36,42,0,303.5,14
2012-07-15,8,9,20,33,40,0,471.5,13.5
2012-07-14,17,22,32,37,42,495717,283,13.5
2012-07-13,12,20,29,35,37,0,263,12.5
2012-07-12,10,14,16,29,39,0,254.5,11
2012-07-11,8,9,14,18,35,0,317,10
2012-07-10,1,12,13,30,33,125000,243,10
2012-07-09,1,5,14,17,27,457591.5,168.5,8.5
2012-07-08,7,19,28,30,34,0,257.5,10.5
2012-07-07,3,5,21,25,34,0,226.5,10
2012-07-06,29,32,33,34,42,0,490,16
2012-07-05,3,10,20,36,43,458682,342,12.5
2012-07-04,1,8,31,32,34,0,368.5,13
2012-07-03,1,5,10,24,43,0,252.5,9.5
2012-07-02,2,5,26,30,40,0,288.5,12
2012-07-01,4,15,19,20,30,125000,305,9
2012-06-30,8,14,21,22,29,325000,207.5,9.5
2012-06-29,3,8,11,24,28,0,120.5,7
2012-06-28,3,23,25,37,42,0,417,13.5
2012-06-27,5,17,32,39,42,468613,275,13
2012-06-26,10,24,27,37,39,0,270,12
2012-06-25,7,18,26,29,39,0,251.5,11
2012-06-24,2,6,11,32,37,0,292,11.5
2012-06-23,2,8,14,24,41,125000,207.5,10.5
2012-06-22,4,10,19,24,38,125000,231.5,9.5
2012-06-21,19,30,32,34,40,721969,305.5,13.5
2012-06-20,8,9,26,36,37,0,350,13
2012-06-19,2,6,38,41,43,0,337,15
